房屋面积(平方米),房间数,房龄(年),到市中心距离(公里),周边学校评分,房价(万元)
45.2,1,15,8.5,6.2,128.5
52.8,1,12,7.8,6.5,152.3
60.5,2,10,6.2,7.1,185.7
68.3,2,8,5.5,7.5,215.4
72.1,2,5,4.8,7.8,238.9
78.5,3,12,3.2,8.1,268.3
82.0,3,7,2.8,8.5,295.1
85.7,3,4,2.1,8.3,312.6
90.2,3,18,1.8,7.9,288.4
95.0,4,6,1.5,9.0,345.8
48.0,1,20,9.2,5.8,110.2
55.3,2,14,7.0,6.8,165.4
62.7,2,11,5.8,7.3,198.2
70.1,2,9,4.5,7.6,228.7
75.4,3,15,3.8,7.2,242.5
80.8,3,8,3.0,8.2,275.6
84.3,3,5,2.5,8.7,308.9
88.6,3,3,2.3,8.4,325.1
92.5,4,10,2.0,8.0,310.3
98.2,4,5,1.2,9.2,368.7
50.5,1,18,8.8,6.0,132.8
57.8,2,13,6.8,6.7,172.5
64.3,2,9,5.2,7.4,205.6
71.5,3,7,4.2,7.7,238.1
76.8,3,14,3.5,7.5,255.3
81.2,3,6,2.7,8.4,285.2
86.5,4,8,2.2,8.6,315.7
89.8,4,4,1.9,8.8,332.4
94.0,4,12,1.6,8.1,305.6
100.5,4,3,1.0,9.5,382.5
43.8,1,22,10.5,5.5,98.6
54.2,2,16,7.5,6.4,158.9
61.8,2,12,6.0,7.0,192.3
69.5,3,10,4.8,7.4,222.8
74.0,3,8,4.0,7.6,250.1
79.5,3,11,3.3,7.9,262.4
83.5,3,6,2.6,8.6,298.7
87.2,4,5,2.4,8.5,320.5
91.8,4,9,2.2,8.2,308.1
96.5,4,4,1.4,9.1,358.2
46.5,1,19,9.0,5.9,118.7
53.5,2,15,7.3,6.6,162.8
63.0,2,8,5.5,7.2,201.5
72.8,3,6,4.0,7.8,245.3
77.5,3,13,3.1,7.4,258.7
82.8,3,9,2.9,8.3,282.1
87.0,4,7,2.3,8.5,312.8
91.2,4,5,2.0,8.7,328.6
95.5,4,11,1.7,8.0,302.3
102.0,5,2,0.8,9.6,395.2
47.8,1,17,9.5,6.1,125.3
56.0,2,11,7.2,6.9,175.6
65.5,2,10,5.0,7.5,212.4
73.5,3,8,3.8,7.9,255.6
78.8,3,16,3.4,7.1,248.9
84.0,4,7,2.8,8.4,290.5
88.0,4,4,2.1,8.8,326.3
92.8,4,8,1.8,8.3,315.8
97.0,5,6,1.5,8.9,352.6
105.0,5,1,0.5,9.8,412.8
49.5,2,21,8.2,6.3,138.2
58.5,2,14,6.5,7.0,182.5
66.8,3,11,4.8,7.3,220.3
74.5,3,9,3.5,7.7,260.1
79.0,3,12,3.2,7.6,268.5
85.2,4,6,2.6,8.5,302.3
89.5,4,3,2.2,8.9,335.7
93.5,4,7,1.9,8.4,318.9
98.5,5,5,1.3,9.0,365.4
108.0,5,2,0.6,9.7,428.5
51.2,1,16,8.0,6.4,145.6
59.0,2,12,6.2,7.2,195.8
67.5,3,8,4.5,7.6,235.2
76.0,3,11,3.6,7.5,258.9
80.5,3,15,3.0,7.3,252.6
86.8,4,5,2.5,8.6,310.5
90.5,4,2,2.0,9.0,342.8
94.5,5,6,1.7,8.5,328.4
99.0,5,4,1.2,9.2,375.6
110.0,5,1,0.4,9.9,445.2
44.5,1,23,10.8,5.3,95.8
56.5,2,13,7.6,6.7,168.5
65.0,3,9,5.3,7.4,215.8
75.0,3,10,3.9,7.6,252.3
81.0,4,8,3.1,8.0,276.8
87.5,4,4,2.4,8.7,322.6
91.0,4,3,2.1,8.9,340.1
95.5,5,7,1.8,8.4,325.7
100.0,5,3,1.1,9.3,380.2
112.0,5,1,0.3,9.8,458.6
52.5,2,20,7.9,6.3,142.5
59.5,2,11,6.4,7.1,190.2
68.0,3,7,4.7,7.7,240.8
76.5,3,9,3.4,7.8,265.3
82.5,4,11,2.9,7.9,278.5
88.5,4,5,2.3,8.8,330.1
92.0,5,3,1.9,9.1,350.5
96.0,5,6,1.6,8.6,335.2
101.5,5,2,0.9,9.5,392.8
115.0,6,1,0.2,9.9,475.3
